ID,bookName,Author,genre,stock,totalStock,price,status,statusCriticality,rating,image
1,The Alchemist,Paulo Coelho,Fiction,10,20,500,Active,3,4,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1483412266i/865.jpg
2,1984,George Orwell,Dystopian,5,50,350,Active,3,3,https://rukminim2.flixcart.com/image/480/640/xif0q/book/v/v/f/1984-original-imahc9p42zyurth5.jpeg?q=90
3,Hamlet,William Shakespeare,Drama,15,30,750,Active,3,2.5,https://cdn.kobo.com/book-images/5fc4252b-1c4f-40ef-9975-22982c94f12c/353/569/90/False/hamlet-prince-of-denmark-23.jpg
4,The Hobbit,J.R.R. Tolkien,Fantasy,6,20,1000,Inactive,1,3.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcYzn0tsZHbbB6P8c4mspuQC_2FIWdATuFbQ&s
5,Pride and Prejudice,Jane Austen,Fiction,2,10,300,Active,3,4.5,https://m.media-amazon.com/images/M/MV5BYzNkMjRmZGMtODg1Ni00MjIxLWI4MTYtOGEwM2YyMmZiMjUzXkEyXkFqcGc@._V1_.jpg
6,The Kite Runner,Khaled Hosseini,Drama,50,80,850,Inactive,1,2.7,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Kite_runner.jpg/250px-Kite_runner.jpg
7,Harry Potter,J.K. Rowling,Fantasy,18,20,600,Active,3,4,https://www.universalorlando.com/webdata/k2/en/us/files/Images/gds/uor-wwohp-logo-3-kids-clouds-key-art-hero-b.jpg
8,The Da Vinci Code,Dan Brown,Thriller,24,30,250,Inactive,1,3.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSX_zRpE9UIiDaG34saoADtk0FWo8SPhghuwn3yXWwR8Q&s
9,To Kill a Mockingbird,Harper Lee,Fiction,1,10,900,Active,3,4.4,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1612238791i/56916837.jpg
10,Atomic Habits,James Clear,Self-Help,12,25,450,Active,3,4.8,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655988385l/40121378.jpg
11,Rich Dad Poor Dad,Robert Kiyosaki,Finance,8,15,550,Active,3,4.1,https://www.crossword.in/cdn/shop/files/rich-dad-poor-dad-what-the-rich-teach-their-kids-about-money-bk0470310-44032852132057.jpg?v=1775116418
12,The Great Gatsby,F. Scott Fitzgerald,Classic,4,12,400,Inactive,1,3.9,https://feelbooks.in/wp-content/uploads/2025/10/9789349919990_PB_Cover.webp
13,Sapiens,Yuval Noah Harari,History,20,40,1200,Active,3,4.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdeELKEms6_Wg2dH0fsHhwAQCui3UB2OSJZA&s
14,The Silent Patient,Alex Michaelides,Thriller,3,10,700,Inactive,1,3.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOFAIv8PfwllTOw53i6sMw2-2m0wAhBjgLCQ&s
15,Ikigai,Héctor García,Self-Help,16,22,500,Active,3,4.3,https://gyaanstore.com/cdn/shop/files/234_aaa800ec-5535-4c1e-856a-e003ddf332e5.png?v=1757578335&width=1946
16,The Catcher in the Rye,J.D. Salinger,Classic,9,18,350,Active,3 ,3.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgsIiET6t8Mu7euFVX5rVrIEm_NMLoJQuRRw&s
17,Inferno,Dan Brown,Thriller,7,14,650,Inactive,1,3.7,https://upload.wikimedia.org/wikipedia/en/6/66/Inferno_%282016_film%29.png
18,Wings of Fire,A.P.J. Abdul Kalam,Biography,14,25,480,Active,3,4.6,https://www.orientblackswan.com/covers/bigcovers/9789349750494.jpg
19,The Psychology of Money,Morgan Housel,Finance,11,20,750,Active,3,4.9,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1581527774i/41881472.jpg
20,Life of Pi,Yann Martel,Adventure,5,15,620,Inactive,1,4.0,https://m.media-amazon.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_FMjpg_UX1000_.jpg
