member_ID,book_ID,borrowDate,returnDate
1,3,2024-01-01,2024-01-10
2,5,2024-01-02,2024-01-11
3,3,2024-01-03,2024-01-12
4,7,2024-01-04,2024-01-13
5,2,2024-01-05,2024-01-14
6,5,2024-01-06,2024-01-15
7,8,2024-01-07,2024-01-16
8,3,2024-01-08,2024-01-17
9,1,2024-01-09,2024-01-18
10,7,2024-01-10,2024-01-19
11,4,2024-01-11,2024-01-20
12,6,2024-01-12,2024-01-21
13,9,2024-01-13,2024-01-22
14,10,2024-01-14,2024-01-23
15,11,2024-01-15,2024-01-24
16,13,2024-01-16,2024-01-25
17,15,2024-01-17,2024-01-26
18,18,2024-01-18,2024-01-27
19,19,2024-01-19,2024-01-28
20,20,2024-01-20,2024-01-29
